"authorId:ID","name",":LABEL"
"a39e522513ab","A.","Author"
"9d9a114f62fa","A. Abdulelah","Author"
"ad63d776ed8e","A. Abecassis-Borgus","Author"
"9684d3c6259f","A. Abend","Author"
"25918ee4a4e8","A. Abraham","Author"
"e37d4ff4ec9f","A. Acharjee","Author"
"c20d54151bd5","A. Acharya","Author"
"7f5341583a6d","A. Adepbote","Author"
"d4a08b7eff3f","A. Adriani","Author"
"7f897216cb05","A. Affat","Author"
"f3805b59b8b1","A. Afifi","Author"
"ab1773423dd7","A. Afzali","Author"
"6b27f5fc5417","A. Agarwal","Author"
"4dc243589b37","A. Agnew","Author"
"343d4e02e1e9","A. Agorogianni","Author"
"4adc400c700a","A. Ait Errami","Author"
"31f816a73f18","A. Ait errami","Author"
"56df36449658","A. Akkoyun","Author"
"4db6bd69beaf","A. Akpınar","Author"
"e283fba51ee0","A. Aksan","Author"
"656079f27941","A. Al Neirab","Author"
"08ab1579188a","A. Albadrani","Author"
"1c989690efec","A. Albillos","Author"
"442c7cf917c0","A. Albillos Martínez","Author"
"f56616c6ed2b","A. Albshesh","Author"
"4409292e897a","A. Aldarwish","Author"
"fc453b26ba2f","A. Alfadhli","Author"
"4d3ff945e684","A. Alghamdi","Author"
"6fe05b51cd74","A. Alhubayshi","Author"
"b1d2d1bdbd70","A. Aliu","Author"
"a6d436f13c11","A. Almajdi","Author"
"6ae8e7e9c74d","A. Almperti","Author"
"778486085bff","A. Alsaadi","Author"
"3521cab660f1","A. Altadill","Author"
"71489e7a17c7","A. Alyssa","Author"
"90c83547b9cb","A. Alzarooni","Author"
"010cea911212","A. Amamou","Author"
"216abf41e64a","A. Amedei","Author"
"5a9a0407984f","A. Amiot","Author"
"f9240806a32f","A. Amir","Author"
"ccbea1de574b","A. Ananthakrishnan","Author"
"8c59840a0c08","A. Antoniou","Author"
"8b57b785c5df","A. Aparicio-Serrano","Author"
"13509e5c44ff","A. Aranguren","Author"
"7658bbe4f85d","A. Aratari","Author"
"f1643e1ea299","A. Armet","Author"
"78d0492dfdbf","A. Armuzzi","Author"
"82aeef81560a","A. Artero","Author"
"705a99cb6579","A. Assa","Author"
"255b4937e266","A. Atanassova","Author"
"5803988ed5db","A. Atay","Author"
"6b571c39ed0b","A. Au-Yeung","Author"
"a3b683bf834c","A. Auzas","Author"
"045faa79abea","A. Avella","Author"
"4179135c50d4","A. Avico","Author"
"ae94cb9e45a9","A. Azulay","Author"
"f63333acf7eb","A. Baccarella","Author"
"c20af601f973","A. Bajor","Author"
"c22e6ff22524","A. Balestrieri","Author"
"52c209474302","A. Bali","Author"
"abdd65fde56f","A. Banana Hamadidi","Author"
"858c21f55fef","A. Bancil","Author"
"50c16aa80778","A. Banerjee","Author"
"3227e921860b","A. Barnes","Author"
"7a59ce4bec99","A. Basavapathruni","Author"
"b5358a6313af","A. Bastos","Author"
"9fbbce126651","A. Bawa","Author"
"39f3cfd56050","A. Bebars","Author"
"9f57f35d2345","A. Ben Dov","Author"
"213aec20e45e","A. Ben-Tov","Author"
"76e7bc95255f","A. Benevides Leite","Author"
"e6db9af3a09e","A. Benezech","Author"
"f55a1b3273dc","A. Bengus","Author"
"fa19af91de9e","A. Benito-Agustino","Author"
"ac4a011bdb3a","A. Berger","Author"
"33c6ec388479","A. Bermont","Author"
"087e0bd289f8","A. Bertani","Author"
"8b0f131b038e","A. Bhardwaj","Author"
"6dfa433759e4","A. Bhupalan","Author"
"423cc5992dcf","A. Bianchi","Author"
"4a3760276056","A. Bitton","Author"
"ca6e9a4ef753","A. Blanco","Author"
"73ce5178e388","A. Blesl","Author"
"e76a4f4ac58e","A. Bodelier","Author"
"782089e78ca2","A. Bogush","Author"
"bd78736f3eef","A. Boronat-Toscano","Author"
"ed9c6423c3ca","A. Borrás Capó","Author"
"af480a789340","A. Bosetti","Author"
"4b29499fc067","A. Bottle","Author"
"ef63bf9e9897","A. Bouhmidi","Author"
"7e16dde198e3","A. Boumponaris","Author"
"e02ed10b7f7b","A. Bourreille","Author"
"8c83d08e8ce3","A. Bourrier","Author"
"3c69c1defd7e","A. Bozon","Author"
"57b397ab6adf","A. Braun","Author"
"b654dbe45a06","A. Bretin","Author"
"c63c376576f5","A. Bromberg","Author"
"648a8d8f2f7e","A. Brouquet","Author"
"44698b2f70a2","A. Brown","Author"
"335790206b2c","A. Bruggeman","Author"
"d65f11d502ba","A. Bruno","Author"
"158a0cf2c08a","A. Buckley","Author"
"6c0fb35b4c57","A. Buisson","Author"
"680b3bfb3bcc","A. Burokas","Author"
"32df1aa4351c","A. Burstyn","Author"
"1e19952b567f","A. Butler","Author"
"4cd0426bddd9","A. Bálint","Author"
"236c445b0bb9","A. Bárbara","Author"
"07f83dac724c","A. Cafarelli","Author"
"7e4cc9966f66","A. Calcinari","Author"
"3333c713e461","A. Calvache Rodriguez","Author"
"07fe62c6edde","A. Camman","Author"
"2cf327d00d1e","A. Cappelli","Author"
"a44da7790384","A. Carciofi","Author"
"51218881a54b","A. Caro","Author"
"a03b9daad559","A. Carrasco","Author"
"c5c95b3c6372","A. Carsstens","Author"
"a085ce27d17c","A. Caserta","Author"
"f6861bb66eff","A. Casà","Author"
"2564697d0b88","A. Cauli","Author"
"99e138631e55","A. Cejudo-Garcés","Author"
"82c5eee1ae4a","A. Cendejas Higuera","Author"
"1bc925a8de31","A. Centritto","Author"
"0a8d28c8f46e","A. Challine","Author"
"1d6ddab3a90d","A. Chana","Author"
"56a1e71c7a1e","A. Chandnani","Author"
"0605c0e17247","A. Chaniotakis","Author"
"9df6eb62c91b","A. Charabaty","Author"
"d697ade03721","A. Charlois","Author"
"91dde2f165ce","A. Chatterjee","Author"
"d20ff9ee4a12","A. Cheifetz","Author"
"64bbbf1ff031","A. Cheshire","Author"
"d8a29b3ce595","A. Chiarotto","Author"
"3ac866f89ad7","A. Choi","Author"
"35a3a8485b96","A. Choudhury","Author"
"7e325b155a29","A. Chowdhury","Author"
"e48136735544","A. Christensen","Author"
"5b67e6279478","A. Christidou","Author"
"a05853a491ec","A. Clatworthy","Author"
"58521279b4ee","A. Cocco","Author"
"18c5838b2f42","A. Cogan","Author"
"9709f4f06a9a","A. Cole","Author"
"2290ee6ad14e","A. Colecchia","Author"
"0354369aaab7","A. Colella","Author"
"3990520c1887","A. Colucci","Author"
"f8b80c9e4b4f","A. Contaldo","Author"
"42815cbb8782","A. Costa Pereira","Author"
"54c28f4942ad","A. Cowell","Author"
"366e300b9fbe","A. Cremer","Author"
"cadd47f84ddb","A. Crespo","Author"
"d17075e3bddd","A. Croft","Author"
"0f42bc420986","A. Curto","Author"
"cba88c5825be","A. Cuvry","Author"
"e7a9a9064e6e","A. Dakka","Author"
"d0de0d34f579","A. Dal Buono","Author"
"52af62e68278","A. Dalal","Author"
"1518a05232f0","A. Day","Author"
"589151c2ce70","A. De Bernardi","Author"
"4f02068c1aef","A. De Carvalho","Author"
"612763116fb3","A. De Maissin","Author"
"16db482add25","A. De Silva","Author"
"70c839b15381","A. Deery","Author"
"9ee31676b47d","A. Del Gaudio","Author"
"07e0a886026a","A. Delmonte","Author"
"3efa55bd28af","A. Dhib","Author"
"9a3657570d66","A. Dhillon","Author"
"58ef98ac3df1","A. Di Petrillo","Author"
"d3e97f5bdaf9","A. Dignass","Author"
"c8dcdfbcaea4","A. Doszhan","Author"
"fb43124e2a68","A. Driessen","Author"
"ad47c1fed170","A. Dumitru","Author"
"9010d0a954c6","A. Ebrahimi","Author"
"8a9af425e00d","A. Eindor","Author"
"129b11ed8920","A. Ekici","Author"
"6be003b13770","A. El Haj Salameh","Author"
"0e73f45e4fd1","A. El-Hakeem","Author"
"8beb802e229e","A. El-HussunaAssociate","Author"
"b3e83b83ba17","A. Elford","Author"
"0947dda870ff","A. Elorza","Author"
"0ec0a872f242","A. Elosua Gonzalez","Author"
"3dda766130e7","A. Erik","Author"
"1fe9c52bf5ce","A. Esplago","Author"
"bbe5549d4b82","A. Esteva Fernández","Author"
"09de89bc1028","A. Etchegaray","Author"
"7247324c0a16","A. Etchegary","Author"
"5eee02fd54cf","A. Even","Author"
"6db4122f6129","A. Fadra","Author"
"0a60efd2eb19","A. Fagbemi","Author"
"9bb06dafc9b6","A. Favale","Author"
"9b0a70c202a4","A. Faye","Author"
"233b35dbed77","A. Fejrskov","Author"
"00354d600527","A. Fennessy","Author"
"c3d0be7a9301","A. Fernandez Clotet","Author"
"94a5f8e3d119","A. Fernández Peinado","Author"
"a5e52a4884e7","A. Ferramosca","Author"
"fe3560593b33","A. Fischer","Author"
"57e405774960","A. Flores","Author"
"03a0ec33fcbd","A. Floris","Author"
"b17f82f98ea7","A. Flower","Author"
"55fda9a35570","A. Forss","Author"
"3c834e9d328b","A. Foster","Author"
"21b75d17f5cd","A. Fouché","Author"
"ffaa5fdb0dc4","A. Fracchia","Author"
"f724836fae90","A. Franke","Author"
"926c6f7221c8","A. Freire","Author"
"8c7c1be5db44","A. Friedenberg","Author"
"2f7eab3be1b9","A. Frontali","Author"
"23204cc41f04","A. Fuchigami","Author"
"60f9a9be7263","A. Fuentes Coronel","Author"
"1b4e9661c0f8","A. Furukawa","Author"
"8d4e927e6e62","A. Fábián","Author"
"1fcc86b2380a","A. Gaddah","Author"
"824a64bcad1e","A. Gandhi R","Author"
"2c29f4dde0a0","A. Garcel","Author"
"df6b9c433214","A. Garcia","Author"
"6b0d6126f1c4","A. García Trueba","Author"
"09b69d6b922e","A. Gargani","Author"
"1cb36a908aa2","A. Garre","Author"
"3bbfd237c56a","A. Garrido Marín","Author"
"22c03a24666c","A. Garrido Trigo","Author"
"5dd44e0a46db","A. Garrison","Author"
"3139776314ed","A. Gasbarrini","Author"
"ebaa4b06fc6b","A. Gasiorowska","Author"
"2d69c0796848","A. Gavric","Author"
"4399a1b2f589","A. Geldhof","Author"
"e7cbba14c08c","A. Germain","Author"
"48a567d8160f","A. Germanopoulos","Author"
"545f95ad1a51","A. Ghuman","Author"
"fb8be4255295","A. Giordano","Author"
"8487fcfdbc0e","A. Giudice","Author"
"32363fddd857","A. Glapa-Nowak","Author"
"06f220713225","A. Glusman-Bendersky","Author"
"52ae02a2b8b8","A. Goldman","Author"
"d272126782f8","A. Gomariz","Author"
"78401c7f9908","A. Gomes","Author"
"94d647ba6cdb","A. Gomez","Author"
"6cf451440052","A. Gomez Venegas","Author"
"dfeecba29b1f","A. Gori","Author"
"0d15fbe24c6d","A. Gorodetskaya","Author"
"7209674753dc","A. Gosling","Author"
"6e929cb10459","A. Granja","Author"
"d831ea8858ac","A. Graziosi","Author"
"642fe1791881","A. Griffiths","Author"
"b1729e67c00f","A. Grunwald","Author"
"89ca823ff372","A. Gschwend","Author"
"ccf834cdfd59","A. Gubbiotti","Author"
"58efe6e991cf","A. Guedes","Author"
"d193b4e5f385","A. Gupta","Author"
"b686daa6141e","A. Gurbanov","Author"
"38504c4c97b8","A. Gurbillon Hirano","Author"
"5408d219ae9a","A. Gutiérrez Casbas","Author"
"5865f986b1b4","A. Haanappel","Author"
"f19e9fe77408","A. Haig","Author"
"eb9aa65cf584","A. Hart","Author"
"8bacaa4fb232","A. Hartebrodt","Author"
"f5cf5e32afbc","A. Hasanova","Author"
"49ef84f2b0c5","A. Hempel","Author"
"8375145e445b","A. Hemperly","Author"
"c70cf509e2eb","A. Hernandez","Author"
"02528958efda","A. Hernandez Camba","Author"
"97f3d7fff201","A. Hernandez Martinez","Author"
"c17182e35dc2","A. Hirsch","Author"
"4894d5dae92b","A. Histace","Author"
"8498f02f0a5e","A. Hoog","Author"
