"diseaseId:ID","name",":LABEL"
"5094dd3872b9","Anemia","Disease"
"79a0ee2e82b1","Arthritis","Disease"
"459911be5f0f","C. difficile Infection","Disease"
"f102129d903b","CMV Infection","Disease"
"eb45e671cea0","Celiac Disease","Disease"
"d277fd23b323","Colitis","Disease"
"45c7d12272de","Colitis-Associated Cancer","Disease"
"3959fe90600f","Colorectal Cancer","Disease"
"997d6d5b5944","Crohn's Disease","Disease"
"3c82e93aef7e","Dysplasia","Disease"
"4267170db626","Extraintestinal Manifestations","Disease"
"fbdd383b36bc","Fibrosis","Disease"
"b967e6ed4ff9","Fistulizing Disease","Disease"
"5dea19829d7e","IBD","Disease"
"413009de3b99","IBS","Disease"
"5cfe3f450430","Indeterminate Colitis","Disease"
"770dd76e492a","Malnutrition","Disease"
"e2a3e6e21853","Osteoporosis","Disease"
"fe89076d21b6","PSC","Disease"
"27ffd01e3d70","Perianal Disease","Disease"
"1ee04f16b0fe","Pouchitis","Disease"
"77ecdccda3ce","Serrated Lesions","Disease"
"5aac591908e5","Stricturing Disease","Disease"
"66b0ae0b1025","Ulcerative Colitis","Disease"
