"studyTypeId:ID","name",":LABEL"
"baf0b8966ac3","AI/ML Study","StudyType"
"bffb72ee3bcc","Case-Control Study","StudyType"
"9661886e607e","Clinical Trial","StudyType"
"1d3acbe933a1","Cohort Study","StudyType"
"e6ae71f27fb8","Cross-Sectional Study","StudyType"
"5ce087d41520","Double-Blind Study","StudyType"
"dc458ebc8eb8","GWAS","StudyType"
"ab9187509d11","Meta-Analysis","StudyType"
"908eec568c0d","Multi-Centre Study","StudyType"
"19e16208f28c","Network Meta-Analysis","StudyType"
"aee83ce51597","Network Pharmacology","StudyType"
"a71c4f586929","Open-Label Study","StudyType"
"dc487b2da46a","Placebo-Controlled Study","StudyType"
"17f955cc03d7","Post-Hoc Analysis","StudyType"
"c3cb354cf359","Prospective Study","StudyType"
"9eb081bdaa27","RCT","StudyType"
"39785266d2e1","Real-World Evidence","StudyType"
"96778aee9b86","Registry Study","StudyType"
"b7746c9a1679","Retrospective Study","StudyType"
"45ad3aa92b87","Single-Centre Study","StudyType"
"65f40ce0f92a","Systematic Review","StudyType"
"76d2092903b6","Target Trial Emulation","StudyType"
