":START_ID",":END_ID",":TYPE"
"546034957c62","7a7a9c103846","AFFILIATED_WITH"
"546034957c62","26bf867206c6","AFFILIATED_WITH"
"546034957c62","07594d6c12d7","AFFILIATED_WITH"
"546034957c62","cc604769d6f6","AFFILIATED_WITH"
"546034957c62","5e78ed220804","AFFILIATED_WITH"
"dc661115d195","7f5551c8c352","AFFILIATED_WITH"
"dc661115d195","26bf867206c6","AFFILIATED_WITH"
"dc661115d195","cbe924add48e","AFFILIATED_WITH"
"dc661115d195","c59b4d24ddef","AFFILIATED_WITH"
"dc661115d195","bd6e85c08121","AFFILIATED_WITH"
"dc661115d195","5a4fb2222666","AFFILIATED_WITH"
"3c70ec53a057","7f5551c8c352","AFFILIATED_WITH"
"3c70ec53a057","26bf867206c6","AFFILIATED_WITH"
"3c70ec53a057","cbe924add48e","AFFILIATED_WITH"
"3c70ec53a057","bd6e85c08121","AFFILIATED_WITH"
"3c70ec53a057","ef948c534220","AFFILIATED_WITH"
"3c70ec53a057","5a4fb2222666","AFFILIATED_WITH"
"57f877d9c359","cbe924add48e","AFFILIATED_WITH"
"57f877d9c359","26bf867206c6","AFFILIATED_WITH"
"57f877d9c359","5a4fb2222666","AFFILIATED_WITH"
"5c2e889d58a4","655894ee6b88","AFFILIATED_WITH"
"5c2e889d58a4","26bf867206c6","AFFILIATED_WITH"
"5c2e889d58a4","c59b4d24ddef","AFFILIATED_WITH"
"5c2e889d58a4","ef948c534220","AFFILIATED_WITH"
"5c2e889d58a4","7f1141789afd","AFFILIATED_WITH"
"5c2e889d58a4","ff8e088d4edf","AFFILIATED_WITH"
"5c2e889d58a4","5a4fb2222666","AFFILIATED_WITH"
"7717052838db","d747343f5304","AFFILIATED_WITH"
"7717052838db","26bf867206c6","AFFILIATED_WITH"
"7717052838db","cbe924add48e","AFFILIATED_WITH"
"7717052838db","c59b4d24ddef","AFFILIATED_WITH"
"7717052838db","ef948c534220","AFFILIATED_WITH"
"7717052838db","f8f93c6d7e89","AFFILIATED_WITH"
"7717052838db","cc604769d6f6","AFFILIATED_WITH"
"7717052838db","5a4fb2222666","AFFILIATED_WITH"
"7717052838db","5752989de3be","AFFILIATED_WITH"
"7717052838db","3fee3419182c","AFFILIATED_WITH"
"3322124b69fd","0b1a0da36c6b","AFFILIATED_WITH"
"3322124b69fd","07ca904efb71","AFFILIATED_WITH"
"3322124b69fd","204abba0ddb8","AFFILIATED_WITH"
"25e175b2576d","999c417e0fc6","AFFILIATED_WITH"
"25e175b2576d","7cd29b68f85c","AFFILIATED_WITH"
"25e175b2576d","677365f2c994","AFFILIATED_WITH"
"25e175b2576d","e8f4e930ce13","AFFILIATED_WITH"
"25e175b2576d","204abba0ddb8","AFFILIATED_WITH"
"25e175b2576d","212d14feef70","AFFILIATED_WITH"
"25e175b2576d","bdd2f0b0ef77","AFFILIATED_WITH"
"fb9d7dab928d","204abba0ddb8","AFFILIATED_WITH"
"1b7c94af04ad","204abba0ddb8","AFFILIATED_WITH"
"7ab19bcf5398","204abba0ddb8","AFFILIATED_WITH"
"7ab19bcf5398","582865ba8570","AFFILIATED_WITH"
"fc4a52c0b325","204abba0ddb8","AFFILIATED_WITH"
"fc4a52c0b325","5e78ed220804","AFFILIATED_WITH"
"7979a9fd3f5d","204abba0ddb8","AFFILIATED_WITH"
"57c9e46c2016","0b1a0da36c6b","AFFILIATED_WITH"
"57c9e46c2016","204abba0ddb8","AFFILIATED_WITH"
"57c9e46c2016","582865ba8570","AFFILIATED_WITH"
"57c9e46c2016","b1afac4724b8","AFFILIATED_WITH"
"57c9e46c2016","09ab7e85291c","AFFILIATED_WITH"
"57c9e46c2016","46256fee4425","AFFILIATED_WITH"
"57c9e46c2016","07ca904efb71","AFFILIATED_WITH"
"f4ca0acf0b8d","7f5551c8c352","AFFILIATED_WITH"
"f4ca0acf0b8d","cbe924add48e","AFFILIATED_WITH"
"f4ca0acf0b8d","204abba0ddb8","AFFILIATED_WITH"
"f4ca0acf0b8d","bd6e85c08121","AFFILIATED_WITH"
"f4ca0acf0b8d","07ca904efb71","AFFILIATED_WITH"
"f4ca0acf0b8d","5a4fb2222666","AFFILIATED_WITH"
"e1b0b7cd4cba","9337717024ea","AFFILIATED_WITH"
"e1b0b7cd4cba","099410d53a61","AFFILIATED_WITH"
"e1b0b7cd4cba","9d821500306b","AFFILIATED_WITH"
"e1b0b7cd4cba","6192dfc63660","AFFILIATED_WITH"
"dcf176a94343","6192dfc63660","AFFILIATED_WITH"
"dcf176a94343","9337717024ea","AFFILIATED_WITH"
"dcf176a94343","099410d53a61","AFFILIATED_WITH"
"dcf176a94343","d31ec7ede793","AFFILIATED_WITH"
"dcf176a94343","b2f0e79f67b5","AFFILIATED_WITH"
"6f12d8a4e6a3","6192dfc63660","AFFILIATED_WITH"
"2a86cbc3e8ba","6192dfc63660","AFFILIATED_WITH"
"ac64b5fc5265","6192dfc63660","AFFILIATED_WITH"
"870ecc30a9fe","6192dfc63660","AFFILIATED_WITH"
"524de46f5c78","f80c6ff0bbb6","AFFILIATED_WITH"
"524de46f5c78","6192dfc63660","AFFILIATED_WITH"
"2592e5013cb5","a4eba637738a","AFFILIATED_WITH"
"2592e5013cb5","6192dfc63660","AFFILIATED_WITH"
"0b540f889747","92205604e41d","AFFILIATED_WITH"
"0b540f889747","6192dfc63660","AFFILIATED_WITH"
"0b540f889747","099410d53a61","AFFILIATED_WITH"
"0b540f889747","9337717024ea","AFFILIATED_WITH"
"0b540f889747","cbbf6067cb45","AFFILIATED_WITH"
"0b540f889747","9d821500306b","AFFILIATED_WITH"
"0b540f889747","b2f0e79f67b5","AFFILIATED_WITH"
"0b540f889747","a4eba637738a","AFFILIATED_WITH"
"63ac55128c29","d82ae39b20e6","AFFILIATED_WITH"
"63ac55128c29","6192dfc63660","AFFILIATED_WITH"
"63ac55128c29","a98e2c1477db","AFFILIATED_WITH"
"63ac55128c29","53f0ea07161f","AFFILIATED_WITH"
"63ac55128c29","90770bc16ef8","AFFILIATED_WITH"
"63ac55128c29","9337717024ea","AFFILIATED_WITH"
"63ac55128c29","cd69635f273a","AFFILIATED_WITH"
"63ac55128c29","3c18d2cb9f63","AFFILIATED_WITH"
"63ac55128c29","9d821500306b","AFFILIATED_WITH"
"63ac55128c29","a4eba637738a","AFFILIATED_WITH"
"881ad12f3573","099410d53a61","AFFILIATED_WITH"
"881ad12f3573","6192dfc63660","AFFILIATED_WITH"
"6c0fb35b4c57","6192dfc63660","AFFILIATED_WITH"
"6c0fb35b4c57","6f9f95e3ebd9","AFFILIATED_WITH"
"6c0fb35b4c57","51c6d00acfc4","AFFILIATED_WITH"
"6c0fb35b4c57","f80c6ff0bbb6","AFFILIATED_WITH"
"6c0fb35b4c57","9337717024ea","AFFILIATED_WITH"
"6c0fb35b4c57","099410d53a61","AFFILIATED_WITH"
"6c0fb35b4c57","d31ec7ede793","AFFILIATED_WITH"
"6c0fb35b4c57","0f1f4fe52404","AFFILIATED_WITH"
"6c0fb35b4c57","3b5e5a26c89b","AFFILIATED_WITH"
"0dd50f2c1e1c","48618040a838","AFFILIATED_WITH"
"0dd50f2c1e1c","198e6a9f695b","AFFILIATED_WITH"
"0dd50f2c1e1c","65b3fb47a7c0","AFFILIATED_WITH"
"0dd50f2c1e1c","fa8d87c7c612","AFFILIATED_WITH"
"0dd50f2c1e1c","0b705b4e44bc","AFFILIATED_WITH"
"0dd50f2c1e1c","78f684f9c8d0","AFFILIATED_WITH"
"2f3c0e297888","198e6a9f695b","AFFILIATED_WITH"
"2f3c0e297888","fa8d87c7c612","AFFILIATED_WITH"
"8d9a2b51fdf9","198e6a9f695b","AFFILIATED_WITH"
"8d9a2b51fdf9","fa8d87c7c612","AFFILIATED_WITH"
"57f80de08814","fa8d87c7c612","AFFILIATED_WITH"
"233b35dbed77","fa8d87c7c612","AFFILIATED_WITH"
"df67f80a1599","04e6bb2f0a4f","AFFILIATED_WITH"
"df67f80a1599","198e6a9f695b","AFFILIATED_WITH"
"df67f80a1599","c38ff9795a0d","AFFILIATED_WITH"
"df67f80a1599","fa8d87c7c612","AFFILIATED_WITH"
"df67f80a1599","0b705b4e44bc","AFFILIATED_WITH"
"df67f80a1599","78f684f9c8d0","AFFILIATED_WITH"
"d72db0d25ebd","fa8d87c7c612","AFFILIATED_WITH"
"db02337589fc","fa8d87c7c612","AFFILIATED_WITH"
"fe3d957bddc9","d04a8692f5ee","AFFILIATED_WITH"
"fe3d957bddc9","e18d3b8dc48b","AFFILIATED_WITH"
"798bc257a628","e18d3b8dc48b","AFFILIATED_WITH"
"5b72569f977d","d04a8692f5ee","AFFILIATED_WITH"
"5b72569f977d","e18d3b8dc48b","AFFILIATED_WITH"
"c19193fb2ccd","e18d3b8dc48b","AFFILIATED_WITH"
"c19193fb2ccd","7dd99c48add4","AFFILIATED_WITH"
"c19193fb2ccd","333c22c66e8c","AFFILIATED_WITH"
"c19193fb2ccd","bdaa2ff9744e","AFFILIATED_WITH"
"c19193fb2ccd","1224d1fa05ab","AFFILIATED_WITH"
"c19193fb2ccd","751057cc4ed6","AFFILIATED_WITH"
"cd05a8bbf868","e18d3b8dc48b","AFFILIATED_WITH"
"bca51f0e12d7","993340c2d8f9","AFFILIATED_WITH"
"bca51f0e12d7","fbc17d147215","AFFILIATED_WITH"
"bca51f0e12d7","d04a8692f5ee","AFFILIATED_WITH"
"bca51f0e12d7","e18d3b8dc48b","AFFILIATED_WITH"
"bca51f0e12d7","bdaa2ff9744e","AFFILIATED_WITH"
"5186cef65cbe","e18d3b8dc48b","AFFILIATED_WITH"
"0e66c219764b","314dd1862f28","AFFILIATED_WITH"
"b974c728b8e9","314dd1862f28","AFFILIATED_WITH"
"eb39226140bc","ef948c534220","AFFILIATED_WITH"
"eb39226140bc","314dd1862f28","AFFILIATED_WITH"
"3819487027ff","314dd1862f28","AFFILIATED_WITH"
"3819487027ff","c8a7f7116b15","AFFILIATED_WITH"
"e5da8724a129","314dd1862f28","AFFILIATED_WITH"
"9b773f12f1ae","90245be029bf","AFFILIATED_WITH"
"9b773f12f1ae","c8a7f7116b15","AFFILIATED_WITH"
"9b773f12f1ae","0d4671daade4","AFFILIATED_WITH"
"9b773f12f1ae","100dd64c9d88","AFFILIATED_WITH"
"9b773f12f1ae","1fde9918894d","AFFILIATED_WITH"
"9b773f12f1ae","70bc139ddc40","AFFILIATED_WITH"
"9b773f12f1ae","edc10c6d481d","AFFILIATED_WITH"
"9b773f12f1ae","5c8426817f0f","AFFILIATED_WITH"
"9b773f12f1ae","314dd1862f28","AFFILIATED_WITH"
"9b773f12f1ae","23c6baac1369","AFFILIATED_WITH"
"9b773f12f1ae","71f4dd1e9cfd","AFFILIATED_WITH"
"f67a5fe65a24","314dd1862f28","AFFILIATED_WITH"
"de2f0be255c1","f6b9009f9774","AFFILIATED_WITH"
"de2f0be255c1","07b6382f04d6","AFFILIATED_WITH"
"e8707c6ab342","7e6cf3f36a3a","AFFILIATED_WITH"
"e8707c6ab342","f6b9009f9774","AFFILIATED_WITH"
"e8707c6ab342","25c20f429d4c","AFFILIATED_WITH"
"e8707c6ab342","07b6382f04d6","AFFILIATED_WITH"
"5e8d98990beb","f6b9009f9774","AFFILIATED_WITH"
"5c556aec5ce3","f6b9009f9774","AFFILIATED_WITH"
"eb770a4fdf2a","46f787f870df","AFFILIATED_WITH"
"eb770a4fdf2a","2e21274bbf83","AFFILIATED_WITH"
"eb770a4fdf2a","9f2256a90ce0","AFFILIATED_WITH"
"eb770a4fdf2a","70bc139ddc40","AFFILIATED_WITH"
"eb770a4fdf2a","b9301f9fc2ca","AFFILIATED_WITH"
"eb770a4fdf2a","f6b9009f9774","AFFILIATED_WITH"
"0ff3e8b7aaef","7e6cf3f36a3a","AFFILIATED_WITH"
"0ff3e8b7aaef","2e21274bbf83","AFFILIATED_WITH"
"0ff3e8b7aaef","f6b9009f9774","AFFILIATED_WITH"
"0ff3e8b7aaef","25c20f429d4c","AFFILIATED_WITH"
"70317a1b9141","48618040a838","AFFILIATED_WITH"
"70317a1b9141","198e6a9f695b","AFFILIATED_WITH"
"70317a1b9141","2fdef7ad9c58","AFFILIATED_WITH"
"70317a1b9141","65b3fb47a7c0","AFFILIATED_WITH"
"70317a1b9141","0b705b4e44bc","AFFILIATED_WITH"
"70317a1b9141","78f684f9c8d0","AFFILIATED_WITH"
"2d311abc8e67","48618040a838","AFFILIATED_WITH"
"2d311abc8e67","198e6a9f695b","AFFILIATED_WITH"
"2d311abc8e67","65b3fb47a7c0","AFFILIATED_WITH"
"2d311abc8e67","0b705b4e44bc","AFFILIATED_WITH"
"2d311abc8e67","78f684f9c8d0","AFFILIATED_WITH"
"68135daf243a","48618040a838","AFFILIATED_WITH"
"68135daf243a","2fdef7ad9c58","AFFILIATED_WITH"
"68135daf243a","78f684f9c8d0","AFFILIATED_WITH"
"0aa02b820a84","198e6a9f695b","AFFILIATED_WITH"
"0aa02b820a84","78f684f9c8d0","AFFILIATED_WITH"
"3dda766130e7","78f684f9c8d0","AFFILIATED_WITH"
"2c53c2eeeb22","78f684f9c8d0","AFFILIATED_WITH"
"c5c95b3c6372","78f684f9c8d0","AFFILIATED_WITH"
"3eee50fd7427","0b705b4e44bc","AFFILIATED_WITH"
"3eee50fd7427","78f684f9c8d0","AFFILIATED_WITH"
"ef6c393b29bc","94c106d275d5","AFFILIATED_WITH"
"ef6c393b29bc","3687a0a1e8e8","AFFILIATED_WITH"
"ef6c393b29bc","148aea4be4f2","AFFILIATED_WITH"
"70243d45b747","94c106d275d5","AFFILIATED_WITH"
"1c3eb56b6fef","7771c9b52e70","AFFILIATED_WITH"
"1c3eb56b6fef","94c106d275d5","AFFILIATED_WITH"
"1c3eb56b6fef","e382dfc23a28","AFFILIATED_WITH"
"1c3eb56b6fef","3687a0a1e8e8","AFFILIATED_WITH"
"d5998814f109","9586759f3170","AFFILIATED_WITH"
"d5998814f109","5a51e8cafaf1","AFFILIATED_WITH"
