":START_ID",":END_ID","position:int",":TYPE"
"546034957c62","jjaf231.001","1","AUTHORED"
"dc661115d195","jjaf231.001","2","AUTHORED"
"3c70ec53a057","jjaf231.001","3","AUTHORED"
"57f877d9c359","jjaf231.001","4","AUTHORED"
"5c2e889d58a4","jjaf231.001","5","AUTHORED"
"7717052838db","jjaf231.001","6","AUTHORED"
"3322124b69fd","jjaf231.002","1","AUTHORED"
"25e175b2576d","jjaf231.002","2","AUTHORED"
"fb9d7dab928d","jjaf231.002","3","AUTHORED"
"1b7c94af04ad","jjaf231.002","4","AUTHORED"
"7ab19bcf5398","jjaf231.002","5","AUTHORED"
"fc4a52c0b325","jjaf231.002","6","AUTHORED"
"7979a9fd3f5d","jjaf231.002","7","AUTHORED"
"57c9e46c2016","jjaf231.002","8","AUTHORED"
"f4ca0acf0b8d","jjaf231.002","9","AUTHORED"
"e1b0b7cd4cba","jjaf231.003","1","AUTHORED"
"dcf176a94343","jjaf231.003","2","AUTHORED"
"6f12d8a4e6a3","jjaf231.003","3","AUTHORED"
"2a86cbc3e8ba","jjaf231.003","4","AUTHORED"
"ac64b5fc5265","jjaf231.003","5","AUTHORED"
"870ecc30a9fe","jjaf231.003","6","AUTHORED"
"524de46f5c78","jjaf231.003","7","AUTHORED"
"2592e5013cb5","jjaf231.003","8","AUTHORED"
"0b540f889747","jjaf231.003","9","AUTHORED"
"63ac55128c29","jjaf231.003","10","AUTHORED"
"881ad12f3573","jjaf231.003","11","AUTHORED"
"6c0fb35b4c57","jjaf231.003","12","AUTHORED"
"0dd50f2c1e1c","jjaf231.004","1","AUTHORED"
"2f3c0e297888","jjaf231.004","2","AUTHORED"
"8d9a2b51fdf9","jjaf231.004","3","AUTHORED"
"57f80de08814","jjaf231.004","4","AUTHORED"
"233b35dbed77","jjaf231.004","5","AUTHORED"
"df67f80a1599","jjaf231.004","6","AUTHORED"
"d72db0d25ebd","jjaf231.004","7","AUTHORED"
"db02337589fc","jjaf231.004","8","AUTHORED"
"fe3d957bddc9","jjaf231.005","1","AUTHORED"
"798bc257a628","jjaf231.005","2","AUTHORED"
"5b72569f977d","jjaf231.005","3","AUTHORED"
"c19193fb2ccd","jjaf231.005","4","AUTHORED"
"cd05a8bbf868","jjaf231.005","5","AUTHORED"
"bca51f0e12d7","jjaf231.005","6","AUTHORED"
"5186cef65cbe","jjaf231.005","7","AUTHORED"
"0e66c219764b","jjaf231.006","1","AUTHORED"
"b974c728b8e9","jjaf231.006","2","AUTHORED"
"eb39226140bc","jjaf231.006","3","AUTHORED"
"3819487027ff","jjaf231.006","4","AUTHORED"
"e5da8724a129","jjaf231.006","5","AUTHORED"
"9b773f12f1ae","jjaf231.006","6","AUTHORED"
"f67a5fe65a24","jjaf231.006","7","AUTHORED"
"de2f0be255c1","jjaf231.007","1","AUTHORED"
"e8707c6ab342","jjaf231.007","2","AUTHORED"
"5e8d98990beb","jjaf231.007","3","AUTHORED"
"5c556aec5ce3","jjaf231.007","4","AUTHORED"
"eb770a4fdf2a","jjaf231.007","5","AUTHORED"
"0ff3e8b7aaef","jjaf231.007","6","AUTHORED"
"70317a1b9141","jjaf231.008","1","AUTHORED"
"0dd50f2c1e1c","jjaf231.008","2","AUTHORED"
"2d311abc8e67","jjaf231.008","3","AUTHORED"
"68135daf243a","jjaf231.008","4","AUTHORED"
"df67f80a1599","jjaf231.008","5","AUTHORED"
"0aa02b820a84","jjaf231.008","6","AUTHORED"
"3dda766130e7","jjaf231.008","7","AUTHORED"
"2c53c2eeeb22","jjaf231.008","8","AUTHORED"
"c5c95b3c6372","jjaf231.008","9","AUTHORED"
"3eee50fd7427","jjaf231.008","10","AUTHORED"
"ef6c393b29bc","jjaf231.009","1","AUTHORED"
"70243d45b747","jjaf231.009","2","AUTHORED"
"1c3eb56b6fef","jjaf231.009","3","AUTHORED"
"d5998814f109","jjaf231.009","4","AUTHORED"
"6ab38635ac45","jjaf231.009","5","AUTHORED"
"13656fe8bc51","jjaf231.009","6","AUTHORED"
"7d7f39cdf1bf","jjaf231.009","7","AUTHORED"
"6d42d98dd279","jjaf231.009","8","AUTHORED"
"05aeb06441ab","jjaf231.009","9","AUTHORED"
"a90a2e458e66","jjaf231.009","10","AUTHORED"
"d3e97f5bdaf9","jjaf231.010","1","AUTHORED"
"ddce9594fa49","jjaf231.010","2","AUTHORED"
"a76b8a830b4e","jjaf231.010","3","AUTHORED"
"992ed53635fe","jjaf231.010","4","AUTHORED"
"daccc0763a76","jjaf231.010","5","AUTHORED"
"87abcbbed3a7","jjaf231.010","6","AUTHORED"
"4eeb6271bd57","jjaf231.010","7","AUTHORED"
"c9af7ef82ace","jjaf231.010","8","AUTHORED"
"79a229b69096","jjaf231.010","9","AUTHORED"
"0d9080cf277d","jjaf231.011","1","AUTHORED"
"25e175b2576d","jjaf231.011","2","AUTHORED"
"51cbe573a700","jjaf231.011","3","AUTHORED"
"6e98eb357ffd","jjaf231.011","4","AUTHORED"
"a83d8ed4b94a","jjaf231.011","5","AUTHORED"
"eac291ee8f12","jjaf231.012","1","AUTHORED"
"439f75d57ae5","jjaf231.012","2","AUTHORED"
"1b82dd92d162","jjaf231.012","3","AUTHORED"
"f9a1adc22105","jjaf231.012","4","AUTHORED"
"f29393dd84a3","jjaf231.012","5","AUTHORED"
"7dc099c58e28","jjaf231.012","6","AUTHORED"
"aa3bbdb9a46f","jjaf231.013","1","AUTHORED"
"f8cd8a4fcc9d","jjaf231.013","2","AUTHORED"
"a1920caf920a","jjaf231.013","3","AUTHORED"
"60c0045f6e3a","jjaf231.013","4","AUTHORED"
"b4c803d563a4","jjaf231.013","5","AUTHORED"
"e0d13be80053","jjaf231.013","6","AUTHORED"
