":START_ID",":END_ID","weight:int",":TYPE"
"dc661115d195","546034957c62","1","CO_AUTHORED_WITH"
"3c70ec53a057","546034957c62","1","CO_AUTHORED_WITH"
"57f877d9c359","546034957c62","1","CO_AUTHORED_WITH"
"5c2e889d58a4","546034957c62","1","CO_AUTHORED_WITH"
"7717052838db","546034957c62","3","CO_AUTHORED_WITH"
"dc661115d195","3c70ec53a057","4","CO_AUTHORED_WITH"
"dc661115d195","57f877d9c359","3","CO_AUTHORED_WITH"
"5c2e889d58a4","dc661115d195","6","CO_AUTHORED_WITH"
"dc661115d195","7717052838db","7","CO_AUTHORED_WITH"
"57f877d9c359","3c70ec53a057","2","CO_AUTHORED_WITH"
"5c2e889d58a4","3c70ec53a057","3","CO_AUTHORED_WITH"
"3c70ec53a057","7717052838db","4","CO_AUTHORED_WITH"
"5c2e889d58a4","57f877d9c359","2","CO_AUTHORED_WITH"
"57f877d9c359","7717052838db","3","CO_AUTHORED_WITH"
"5c2e889d58a4","7717052838db","9","CO_AUTHORED_WITH"
"3322124b69fd","25e175b2576d","3","CO_AUTHORED_WITH"
"3322124b69fd","fb9d7dab928d","1","CO_AUTHORED_WITH"
"3322124b69fd","1b7c94af04ad","1","CO_AUTHORED_WITH"
"7ab19bcf5398","3322124b69fd","1","CO_AUTHORED_WITH"
"3322124b69fd","fc4a52c0b325","1","CO_AUTHORED_WITH"
"3322124b69fd","7979a9fd3f5d","1","CO_AUTHORED_WITH"
"3322124b69fd","57c9e46c2016","5","CO_AUTHORED_WITH"
"3322124b69fd","f4ca0acf0b8d","4","CO_AUTHORED_WITH"
"25e175b2576d","fb9d7dab928d","1","CO_AUTHORED_WITH"
"1b7c94af04ad","25e175b2576d","1","CO_AUTHORED_WITH"
"7ab19bcf5398","25e175b2576d","1","CO_AUTHORED_WITH"
"25e175b2576d","fc4a52c0b325","1","CO_AUTHORED_WITH"
"25e175b2576d","7979a9fd3f5d","1","CO_AUTHORED_WITH"
"25e175b2576d","57c9e46c2016","3","CO_AUTHORED_WITH"
"f4ca0acf0b8d","25e175b2576d","3","CO_AUTHORED_WITH"
"1b7c94af04ad","fb9d7dab928d","1","CO_AUTHORED_WITH"
"7ab19bcf5398","fb9d7dab928d","1","CO_AUTHORED_WITH"
"fc4a52c0b325","fb9d7dab928d","1","CO_AUTHORED_WITH"
"fb9d7dab928d","7979a9fd3f5d","1","CO_AUTHORED_WITH"
"57c9e46c2016","fb9d7dab928d","1","CO_AUTHORED_WITH"
"f4ca0acf0b8d","fb9d7dab928d","1","CO_AUTHORED_WITH"
"7ab19bcf5398","1b7c94af04ad","1","CO_AUTHORED_WITH"
"1b7c94af04ad","fc4a52c0b325","1","CO_AUTHORED_WITH"
"1b7c94af04ad","7979a9fd3f5d","1","CO_AUTHORED_WITH"
"1b7c94af04ad","57c9e46c2016","1","CO_AUTHORED_WITH"
"1b7c94af04ad","f4ca0acf0b8d","1","CO_AUTHORED_WITH"
"7ab19bcf5398","fc4a52c0b325","1","CO_AUTHORED_WITH"
"7ab19bcf5398","7979a9fd3f5d","1","CO_AUTHORED_WITH"
"7ab19bcf5398","57c9e46c2016","1","CO_AUTHORED_WITH"
"7ab19bcf5398","f4ca0acf0b8d","1","CO_AUTHORED_WITH"
"fc4a52c0b325","7979a9fd3f5d","1","CO_AUTHORED_WITH"
"57c9e46c2016","fc4a52c0b325","1","CO_AUTHORED_WITH"
"f4ca0acf0b8d","fc4a52c0b325","1","CO_AUTHORED_WITH"
"57c9e46c2016","7979a9fd3f5d","1","CO_AUTHORED_WITH"
"f4ca0acf0b8d","7979a9fd3f5d","1","CO_AUTHORED_WITH"
"f4ca0acf0b8d","57c9e46c2016","4","CO_AUTHORED_WITH"
"dcf176a94343","e1b0b7cd4cba","3","CO_AUTHORED_WITH"
"6f12d8a4e6a3","e1b0b7cd4cba","1","CO_AUTHORED_WITH"
"2a86cbc3e8ba","e1b0b7cd4cba","1","CO_AUTHORED_WITH"
"ac64b5fc5265","e1b0b7cd4cba","1","CO_AUTHORED_WITH"
"e1b0b7cd4cba","870ecc30a9fe","1","CO_AUTHORED_WITH"
"524de46f5c78","e1b0b7cd4cba","1","CO_AUTHORED_WITH"
"2592e5013cb5","e1b0b7cd4cba","1","CO_AUTHORED_WITH"
"0b540f889747","e1b0b7cd4cba","4","CO_AUTHORED_WITH"
"63ac55128c29","e1b0b7cd4cba","3","CO_AUTHORED_WITH"
"881ad12f3573","e1b0b7cd4cba","3","CO_AUTHORED_WITH"
"6c0fb35b4c57","e1b0b7cd4cba","4","CO_AUTHORED_WITH"
