":START_ID",":END_ID",":TYPE"
"jjaf231.001","bdcbfb5deed8","IN_TOPIC"
"jjaf231.002","bdcbfb5deed8","IN_TOPIC"
"jjaf231.003","bdcbfb5deed8","IN_TOPIC"
"jjaf231.004","ca5c2481ca60","IN_TOPIC"
"jjaf231.005","ca5c2481ca60","IN_TOPIC"
"jjaf231.006","572cd5349964","IN_TOPIC"
"jjaf231.007","572cd5349964","IN_TOPIC"
"jjaf231.008","279cc26cd8b8","IN_TOPIC"
"jjaf231.009","279cc26cd8b8","IN_TOPIC"
"jjaf231.010","279cc26cd8b8","IN_TOPIC"
"jjaf231.011","4381a8cfb4f0","IN_TOPIC"
"jjaf231.012","4381a8cfb4f0","IN_TOPIC"
"jjaf231.013","4381a8cfb4f0","IN_TOPIC"
"jjaf231.014","40089cce2030","IN_TOPIC"
"jjaf231.015","40089cce2030","IN_TOPIC"
"jjaf231.016","40089cce2030","IN_TOPIC"
"jjaf231.017","58f892de6163","IN_TOPIC"
"jjaf231.018","58f892de6163","IN_TOPIC"
"jjaf231.019","cf35441f9b75","IN_TOPIC"
"jjaf231.020","cf35441f9b75","IN_TOPIC"
"jjaf231.021","cf35441f9b75","IN_TOPIC"
"jjaf231.022","cf35441f9b75","IN_TOPIC"
"jjaf231.023","5a4ebf6b44a9","IN_TOPIC"
"jjaf231.024","5a4ebf6b44a9","IN_TOPIC"
"jjaf231.025","5a4ebf6b44a9","IN_TOPIC"
"jjaf231.026","5a4ebf6b44a9","IN_TOPIC"
"jjaf231.027","5a4ebf6b44a9","IN_TOPIC"
"jjaf231.028","5a4ebf6b44a9","IN_TOPIC"
"jjaf231.029","4ee0e580e5aa","IN_TOPIC"
"jjaf231.030","4ee0e580e5aa","IN_TOPIC"
"jjaf231.031","4ee0e580e5aa","IN_TOPIC"
"jjaf231.032","4ee0e580e5aa","IN_TOPIC"
"jjaf231.033","4ee0e580e5aa","IN_TOPIC"
"jjaf231.034","1fa40363caa6","IN_TOPIC"
"jjaf231.035","1fa40363caa6","IN_TOPIC"
"jjaf231.036","1fa40363caa6","IN_TOPIC"
"jjaf231.037","1fa40363caa6","IN_TOPIC"
"jjaf231.038","bf24aa6e041a","IN_TOPIC"
"jjaf231.039","bf24aa6e041a","IN_TOPIC"
"jjaf231.040","bf24aa6e041a","IN_TOPIC"
"jjaf231.041","bf24aa6e041a","IN_TOPIC"
"jjaf231.042","bf24aa6e041a","IN_TOPIC"
"jjaf231.043","bf24aa6e041a","IN_TOPIC"
"jjaf231.044","bf24aa6e041a","IN_TOPIC"
"jjaf231.045","bf24aa6e041a","IN_TOPIC"
"jjaf231.046","bf24aa6e041a","IN_TOPIC"
"jjaf231.047","1e0af6ba3292","IN_TOPIC"
"jjaf231.048","1e0af6ba3292","IN_TOPIC"
"jjaf231.049","1e0af6ba3292","IN_TOPIC"
"jjaf231.050","1e0af6ba3292","IN_TOPIC"
"jjaf231.052","1e0af6ba3292","IN_TOPIC"
"jjaf231.053","1e0af6ba3292","IN_TOPIC"
"jjaf231.055","1e0af6ba3292","IN_TOPIC"
"jjaf231.056","2374c91ff8fa","IN_TOPIC"
"jjaf231.057","2374c91ff8fa","IN_TOPIC"
"jjaf231.058","2374c91ff8fa","IN_TOPIC"
"jjaf231.059","2374c91ff8fa","IN_TOPIC"
"jjaf231.060","2374c91ff8fa","IN_TOPIC"
"jjaf231.061","2374c91ff8fa","IN_TOPIC"
"jjaf231.062","2374c91ff8fa","IN_TOPIC"
"jjaf231.063","2374c91ff8fa","IN_TOPIC"
"jjaf231.064","2374c91ff8fa","IN_TOPIC"
"jjaf231.065","9bda96831b57","IN_TOPIC"
"jjaf231.066","9bda96831b57","IN_TOPIC"
"jjaf231.067","9bda96831b57","IN_TOPIC"
"jjaf231.068","9bda96831b57","IN_TOPIC"
"jjaf231.069","9bda96831b57","IN_TOPIC"
"jjaf231.070","9bda96831b57","IN_TOPIC"
"jjaf231.071","9bda96831b57","IN_TOPIC"
"jjaf231.072","9bda96831b57","IN_TOPIC"
"jjaf231.073","9bda96831b57","IN_TOPIC"
"jjaf231.074","a7897315b7c8","IN_TOPIC"
"jjaf231.075","a7897315b7c8","IN_TOPIC"
"jjaf231.076","a7897315b7c8","IN_TOPIC"
"jjaf231.077","a7897315b7c8","IN_TOPIC"
"jjaf231.078","a7897315b7c8","IN_TOPIC"
"jjaf231.079","a7897315b7c8","IN_TOPIC"
"jjaf231.080","a7897315b7c8","IN_TOPIC"
"jjaf231.081","a7897315b7c8","IN_TOPIC"
"jjaf231.082","a7897315b7c8","IN_TOPIC"
"jjaf231.083","15447a86d7c0","IN_TOPIC"
"jjaf231.084","15447a86d7c0","IN_TOPIC"
"jjaf231.085","15447a86d7c0","IN_TOPIC"
"jjaf231.086","15447a86d7c0","IN_TOPIC"
"jjaf231.087","15447a86d7c0","IN_TOPIC"
"jjaf231.088","15447a86d7c0","IN_TOPIC"
"jjaf231.089","15447a86d7c0","IN_TOPIC"
"jjaf231.090","15447a86d7c0","IN_TOPIC"
"jjaf231.091","15447a86d7c0","IN_TOPIC"
"jjaf231.092","63b4d3632cbe","IN_TOPIC"
"jjaf231.093","63b4d3632cbe","IN_TOPIC"
"jjaf231.094","63b4d3632cbe","IN_TOPIC"
"jjaf231.095","63b4d3632cbe","IN_TOPIC"
"jjaf231.096","63b4d3632cbe","IN_TOPIC"
"jjaf231.097","63b4d3632cbe","IN_TOPIC"
"jjaf231.098","63b4d3632cbe","IN_TOPIC"
"jjaf231.099","63b4d3632cbe","IN_TOPIC"
"jjaf231.100","63b4d3632cbe","IN_TOPIC"
"jjaf231.101","69fb4e36b097","IN_TOPIC"
"jjaf231.102","69fb4e36b097","IN_TOPIC"
"jjaf231.103","69fb4e36b097","IN_TOPIC"
"jjaf231.104","69fb4e36b097","IN_TOPIC"
"jjaf231.105","69fb4e36b097","IN_TOPIC"
"jjaf231.106","69fb4e36b097","IN_TOPIC"
"jjaf231.107","69fb4e36b097","IN_TOPIC"
"jjaf231.108","69fb4e36b097","IN_TOPIC"
