":START_ID",":END_ID",":TYPE"
"jjaf231.002","0e31d08f0a54","MENTIONS_DRUG"
"jjaf231.002","0d3aad54afac","MENTIONS_DRUG"
"jjaf231.003","7d2fde095904","MENTIONS_DRUG"
"jjaf231.003","e2fa1317268b","MENTIONS_DRUG"
"jjaf231.004","7d2fde095904","MENTIONS_DRUG"
"jjaf231.004","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.005","7d2fde095904","MENTIONS_DRUG"
"jjaf231.005","958d7f202381","MENTIONS_DRUG"
"jjaf231.006","0e31d08f0a54","MENTIONS_DRUG"
"jjaf231.008","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.008","304e5fe65fd6","MENTIONS_DRUG"
"jjaf231.009","7d2fde095904","MENTIONS_DRUG"
"jjaf231.009","958d7f202381","MENTIONS_DRUG"
"jjaf231.009","66752e9a8fba","MENTIONS_DRUG"
"jjaf231.010","898ddf927498","MENTIONS_DRUG"
"jjaf231.012","84d6ef847899","MENTIONS_DRUG"
"jjaf231.012","7d2fde095904","MENTIONS_DRUG"
"jjaf231.012","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.012","958d7f202381","MENTIONS_DRUG"
"jjaf231.013","7d2fde095904","MENTIONS_DRUG"
"jjaf231.013","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.013","958d7f202381","MENTIONS_DRUG"
"jjaf231.015","d7aa67c1a302","MENTIONS_DRUG"
"jjaf231.016","7d2fde095904","MENTIONS_DRUG"
"jjaf231.016","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.016","82fb2afab454","MENTIONS_DRUG"
"jjaf231.016","7fab052d25e9","MENTIONS_DRUG"
"jjaf231.016","cd6e85549957","MENTIONS_DRUG"
"jjaf231.016","66752e9a8fba","MENTIONS_DRUG"
"jjaf231.016","0d3aad54afac","MENTIONS_DRUG"
"jjaf231.018","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.018","66752e9a8fba","MENTIONS_DRUG"
"jjaf231.021","7d2fde095904","MENTIONS_DRUG"
"jjaf231.021","7fab052d25e9","MENTIONS_DRUG"
"jjaf231.021","cd6e85549957","MENTIONS_DRUG"
"jjaf231.021","0d3aad54afac","MENTIONS_DRUG"
"jjaf231.027","7d2fde095904","MENTIONS_DRUG"
"jjaf231.027","0e31d08f0a54","MENTIONS_DRUG"
"jjaf231.030","81b9d74a9374","MENTIONS_DRUG"
"jjaf231.030","0e31d08f0a54","MENTIONS_DRUG"
"jjaf231.035","7d2fde095904","MENTIONS_DRUG"
"jjaf231.035","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.036","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.036","0e31d08f0a54","MENTIONS_DRUG"
"jjaf231.038","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.038","898ddf927498","MENTIONS_DRUG"
"jjaf231.038","8a6272110683","MENTIONS_DRUG"
"jjaf231.038","66752e9a8fba","MENTIONS_DRUG"
"jjaf231.040","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.040","17de69d11428","MENTIONS_DRUG"
"jjaf231.041","7d2fde095904","MENTIONS_DRUG"
"jjaf231.041","e2fa1317268b","MENTIONS_DRUG"
"jjaf231.041","66752e9a8fba","MENTIONS_DRUG"
"jjaf231.042","17de69d11428","MENTIONS_DRUG"
"jjaf231.043","958d7f202381","MENTIONS_DRUG"
"jjaf231.044","7d2fde095904","MENTIONS_DRUG"
"jjaf231.044","66752e9a8fba","MENTIONS_DRUG"
"jjaf231.046","958d7f202381","MENTIONS_DRUG"
"jjaf231.048","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.049","cd3fa7b56cbf","MENTIONS_DRUG"
"jjaf231.053","d916139cc83a","MENTIONS_DRUG"
"jjaf231.053","0d3aad54afac","MENTIONS_DRUG"
"jjaf231.058","7d2fde095904","MENTIONS_DRUG"
"jjaf231.062","7d2fde095904","MENTIONS_DRUG"
"jjaf231.062","82fb2afab454","MENTIONS_DRUG"
"jjaf231.065","7d2fde095904","MENTIONS_DRUG"
"jjaf231.065","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.065","66752e9a8fba","MENTIONS_DRUG"
"jjaf231.065","0d3aad54afac","MENTIONS_DRUG"
"jjaf231.066","0e31d08f0a54","MENTIONS_DRUG"
"jjaf231.067","edf7f3eaff28","MENTIONS_DRUG"
"jjaf231.067","7d2fde095904","MENTIONS_DRUG"
"jjaf231.067","82fb2afab454","MENTIONS_DRUG"
"jjaf231.067","17de69d11428","MENTIONS_DRUG"
"jjaf231.067","66752e9a8fba","MENTIONS_DRUG"
"jjaf231.068","e2fa1317268b","MENTIONS_DRUG"
"jjaf231.069","7d2fde095904","MENTIONS_DRUG"
"jjaf231.069","e2fa1317268b","MENTIONS_DRUG"
"jjaf231.069","0e31d08f0a54","MENTIONS_DRUG"
"jjaf231.069","66752e9a8fba","MENTIONS_DRUG"
"jjaf231.069","0d3aad54afac","MENTIONS_DRUG"
"jjaf231.070","d9b2002cbe20","MENTIONS_DRUG"
"jjaf231.070","66752e9a8fba","MENTIONS_DRUG"
"jjaf231.070","0d3aad54afac","MENTIONS_DRUG"
"jjaf231.071","958d7f202381","MENTIONS_DRUG"
"jjaf231.072","0e31d08f0a54","MENTIONS_DRUG"
"jjaf231.073","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.073","64dc6903b68a","MENTIONS_DRUG"
"jjaf231.074","7d2fde095904","MENTIONS_DRUG"
"jjaf231.074","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.074","0d3aad54afac","MENTIONS_DRUG"
"jjaf231.077","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.078","64dc6903b68a","MENTIONS_DRUG"
"jjaf231.078","82fb2afab454","MENTIONS_DRUG"
"jjaf231.078","b3b92b28984b","MENTIONS_DRUG"
"jjaf231.078","0e31d08f0a54","MENTIONS_DRUG"
"jjaf231.079","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.080","7d2fde095904","MENTIONS_DRUG"
"jjaf231.081","cd3fa7b56cbf","MENTIONS_DRUG"
"jjaf231.083","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.083","0d3aad54afac","MENTIONS_DRUG"
"jjaf231.085","7d2fde095904","MENTIONS_DRUG"
"jjaf231.086","7bef9a2a99db","MENTIONS_DRUG"
"jjaf231.091","d916139cc83a","MENTIONS_DRUG"
"jjaf231.091","958d7f202381","MENTIONS_DRUG"
"jjaf231.091","0d3aad54afac","MENTIONS_DRUG"
"jjaf231.092","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.092","e2fa1317268b","MENTIONS_DRUG"
"jjaf231.093","0e31d08f0a54","MENTIONS_DRUG"
"jjaf231.094","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.094","82fb2afab454","MENTIONS_DRUG"
"jjaf231.094","81b9d74a9374","MENTIONS_DRUG"
"jjaf231.094","304e5fe65fd6","MENTIONS_DRUG"
"jjaf231.095","898ddf927498","MENTIONS_DRUG"
"jjaf231.096","edf7f3eaff28","MENTIONS_DRUG"
"jjaf231.096","17de69d11428","MENTIONS_DRUG"
"jjaf231.097","81b9d74a9374","MENTIONS_DRUG"
"jjaf231.098","81b9d74a9374","MENTIONS_DRUG"
"jjaf231.099","4f30179ca320","MENTIONS_DRUG"
"jjaf231.100","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.100","4f30179ca320","MENTIONS_DRUG"
"jjaf231.103","958d7f202381","MENTIONS_DRUG"
"jjaf231.107","437084a6bdd5","MENTIONS_DRUG"
"jjaf231.108","7d2fde095904","MENTIONS_DRUG"
"jjaf231.108","b3b92b28984b","MENTIONS_DRUG"
"jjaf231.108","66752e9a8fba","MENTIONS_DRUG"
"jjaf231.108","0d3aad54afac","MENTIONS_DRUG"
