":START_ID",":END_ID",":TYPE"
"jjaf231.001","ecco-2026","PRESENTED_AT"
"jjaf231.002","ecco-2026","PRESENTED_AT"
"jjaf231.003","ecco-2026","PRESENTED_AT"
"jjaf231.004","ecco-2026","PRESENTED_AT"
"jjaf231.005","ecco-2026","PRESENTED_AT"
"jjaf231.006","ecco-2026","PRESENTED_AT"
"jjaf231.007","ecco-2026","PRESENTED_AT"
"jjaf231.008","ecco-2026","PRESENTED_AT"
"jjaf231.009","ecco-2026","PRESENTED_AT"
"jjaf231.010","ecco-2026","PRESENTED_AT"
"jjaf231.011","ecco-2026","PRESENTED_AT"
"jjaf231.012","ecco-2026","PRESENTED_AT"
"jjaf231.013","ecco-2026","PRESENTED_AT"
"jjaf231.014","ecco-2026","PRESENTED_AT"
"jjaf231.015","ecco-2026","PRESENTED_AT"
"jjaf231.016","ecco-2026","PRESENTED_AT"
"jjaf231.017","ecco-2026","PRESENTED_AT"
"jjaf231.018","ecco-2026","PRESENTED_AT"
"jjaf231.019","ecco-2026","PRESENTED_AT"
"jjaf231.020","ecco-2026","PRESENTED_AT"
"jjaf231.021","ecco-2026","PRESENTED_AT"
"jjaf231.022","ecco-2026","PRESENTED_AT"
"jjaf231.023","ecco-2026","PRESENTED_AT"
"jjaf231.024","ecco-2026","PRESENTED_AT"
"jjaf231.025","ecco-2026","PRESENTED_AT"
"jjaf231.026","ecco-2026","PRESENTED_AT"
"jjaf231.027","ecco-2026","PRESENTED_AT"
"jjaf231.028","ecco-2026","PRESENTED_AT"
"jjaf231.029","ecco-2026","PRESENTED_AT"
"jjaf231.030","ecco-2026","PRESENTED_AT"
"jjaf231.031","ecco-2026","PRESENTED_AT"
"jjaf231.032","ecco-2026","PRESENTED_AT"
"jjaf231.033","ecco-2026","PRESENTED_AT"
"jjaf231.034","ecco-2026","PRESENTED_AT"
"jjaf231.035","ecco-2026","PRESENTED_AT"
"jjaf231.036","ecco-2026","PRESENTED_AT"
"jjaf231.037","ecco-2026","PRESENTED_AT"
"jjaf231.038","ecco-2026","PRESENTED_AT"
"jjaf231.039","ecco-2026","PRESENTED_AT"
"jjaf231.040","ecco-2026","PRESENTED_AT"
"jjaf231.041","ecco-2026","PRESENTED_AT"
"jjaf231.042","ecco-2026","PRESENTED_AT"
"jjaf231.043","ecco-2026","PRESENTED_AT"
"jjaf231.044","ecco-2026","PRESENTED_AT"
"jjaf231.045","ecco-2026","PRESENTED_AT"
"jjaf231.046","ecco-2026","PRESENTED_AT"
"jjaf231.047","ecco-2026","PRESENTED_AT"
"jjaf231.048","ecco-2026","PRESENTED_AT"
"jjaf231.049","ecco-2026","PRESENTED_AT"
"jjaf231.050","ecco-2026","PRESENTED_AT"
"jjaf231.052","ecco-2026","PRESENTED_AT"
"jjaf231.053","ecco-2026","PRESENTED_AT"
"jjaf231.055","ecco-2026","PRESENTED_AT"
"jjaf231.056","ecco-2026","PRESENTED_AT"
